ID,Recap,Trap,SVL,VTL,Regen,Weight,Sex,Year,projected_SVL,Toes
1,True,"['P90', 'R81']",76,63,1.0,7.54,M,2016,100,[]
2,True,"['P26', 'R12']",63,73,0.0,4.78,J,2015,100,[]
3,False,['P3'],54,71,0.0,2.88,J,2015,100,[]
4,True,"['P84', 'R26']",65,56,21.0,5.37,F,2016,100,[]
6,False,['P25'],61,63,0.0,4.05,J,2015,100,[]
7,False,['P42'],71,72,9.0,7.36,nan,2015,100,[]
8,False,['P53'],75,41,33.0,6.38,nan,2015,100,['RR3']
9,True,"['P19', 'R8']",63,65,1.0,5.1,nan,2016,100,[]
10,True,['R4'],69,41,30.0,5.11,nan,2016,100,[]
11,True,['R31'],75,88,0.0,8.8,nan,2016,100,[]
12,True,"['R2', 'PR12']",73,64,22.0,7.67,nan,2017,100,[]
13,True,['R12'],68,72,1.0,5.83,F,2016,100,[]
14,True,"['R27', 'R26']",80,65,27.0,9.38,M,2018,100,"['RF2', 'RF3']"
15,False,['P16'],39,51,0.0,1.01,N,2015,100,[]
16,True,"['R8', 'R7']",60,45,15.0,4.41,nan,2015,100,[]
17,False,['R11'],42,57,0.0,1.32,N,2015,100,[]
18,False,['R89'],47,58,0.0,1.94,J,2015,100,[]
19,True,"['P14', 'R4', 'R3']",71,80,12.0,7.26,M,2016,100,[]
20,True,"['R2', 'R3', 'R79']",72,22,2.0,5.95,M,2016,100,"['LF1', 'LF2', 'LF3', 'LF4', 'LF5']"
21,True,"['M54', 'R94']",43,55,0.0,1.86,J,2015,100,[]
22,True,['R101'],72,65,19.0,7.23,F,2017,100,"['LF4', 'RF4', 'LR2']"
23,True,['R99'],69,7,0.0,4.76,F,2017,100,"['LR2', 'LR3', 'LR4', 'RR2', 'RR3', 'RR4']"
25,True,"['R97', 'M57', 'R90']",68,42,30.0,5.37,F,2016,100,['LR4']
26,True,"['P54', 'PR53']",78,24,7.0,8.39,M,2019,100,"['LF2', 'LF4', 'RF1']"
27,True,"['P63', 'PR63']",71,88,7.0,7.52,M,2017,100,[]
28,False,['P138'],62,31,23.0,4.7,nan,2015,100,[]
29,True,['R31'],56,34,25.0,3.5,nan,2015,100,[]
30,True,"['R79', 'PR19', 'R9']",62,71,0.0,4.73,nan,2016,100,[]
31,True,"['P22', 'R1', 'R11', 'PR22']",68,53,43.0,6.9,M,2017,100,"['RF1', 'RF4']"
